Time_s,M1_X,M1_Y,M1_Z,,,,
0.0086581,0.124380988,-0.003400645,0.004172348,,,,
0.1181248,0.124580501,-0.003290093,0.004034643,,0.10947,,
0.231567,0.124438236,-0.00335205,0.004183621,,0.11344,,
0.3406255,0.124443629,-0.003349734,0.004000215,,0.10906,,
0.4482726,0.124529875,-0.003362343,0.003647749,,0.10765,,
0.558178,0.12448033,-0.003308106,0.003927721,,0.10991,,
0.6674517,0.124437331,-0.003337906,0.003861999,,0.10927,,
0.7751834,0.124516184,-0.003310738,0.00382011,,0.10773,,
0.8819468,0.124512073,-0.003365888,0.003793578,,0.10676,,
0.9920107,0.124478279,-0.003358905,0.004158313,,0.11006,,
1.1032007,0.124509451,-0.003338333,0.003823821,,0.11119,,
1.2129823,0.124447966,-0.003441288,0.003812893,,0.10978,,
1.3237988,0.11966507,-0.002773499,0.003906574,,0.11082,,
1.4330467,0.115107852,-0.002299324,0.003866255,,0.10925,,
1.5428966,0.110009004,-0.001780442,0.004739151,,0.10985,,
1.6529543,0.105227718,-0.001425303,0.004506405,,0.11006,,
1.7630799,0.103318108,-0.00107978,0.004637083,,0.11013,,0.10991
1.8728525,0.102995298,-0.000623126,0.005143567,,0.10977,,
1.9832401,0.102823909,-0.000869664,0.005039173,,0.11039,,
2.0918842,0.102879553,-0.001023792,0.005203039,,0.10864,,
2.1997315,0.10283709,-0.001066541,0.00518264,,0.10785,,
2.3063424,0.102895805,-0.001092958,0.005220872,,0.10661,,
2.4132068,0.102942817,-0.001054199,0.005319548,,0.10686,,
2.5195862,0.102815763,-0.001095806,0.00508898,,0.10638,,
2.6285902,0.102878499,-0.001201368,0.005177315,,0.10900,,
2.7388896,0.121949844,-0.003312615,0.004547146,,0.11030,,
2.8491301,0.132335474,-0.004203836,0.004019155,,0.11024,,
2.9631319,0.116232128,-0.002664853,0.004777479,,0.11400,,
3.0759249,0.123259527,-0.003369553,0.004536041,,0.11279,,
3.1864905,0.125945499,-0.003727787,0.004342029,,0.11057,,
3.2968419,0.124411887,-0.003475531,0.004374762,,0.11035,,
3.4053134,0.124435878,-0.003469905,0.004507608,,0.10847,,
3.5134692,0.124422975,-0.003478481,0.004521441,,0.10816,,
3.6215406,0.124477848,-0.00329944,0.004137173,,0.10807,,
3.7292017,0.124403971,-0.00350061,0.004454102,,0.10766,,
3.8380729,0.124441314,-0.003491121,0.004430475,,0.10887,,
3.9484642,0.124411401,-0.003498322,0.004416678,,0.11039,,
4.0590179,0.124490033,-0.003427046,0.004463029,,0.11055,,
4.168908,0.124506009,-0.003332888,0.004271121,,0.10989,,
4.2805032,0.124428552,-0.003537609,0.004372685,,0.11160,,
4.3944005,0.124379084,-0.003636679,0.004422586,,0.11390,,
4.5106682,0.124385442,-0.003622566,0.004434239,,0.11627,,
4.6245913,0.124424658,-0.003605374,0.004390604,,0.11392,,
4.7355591,0.124424592,-0.003655872,0.004422852,,0.11097,,
4.8447367,0.124408043,-0.003617672,0.004476579,,0.10918,,
4.9545228,0.124418882,-0.003589715,0.004386774,,0.10979,,
